date,agency,final_incident_type,of_incidents_calculated,call_to_first_pickup,call_to_pd_calltaker_handoff,call_to_ems_pickup,call_to_agency_job_creation,call_to_agency_dispatch,call_to_agency_arrival,call_to_first_arrival_multi,median_pickup,median_calltaker_handoff,median_ems_pickup,median_ems_job_creation,median_dispatch,median_travel,median_cumulative_first,average_travel,average_dispatch,average_ems_processing,average_ems_pickup,average_calltaker_processing,average_pickup,call_to_fdny_pickup,call_to_fdny_job_creation,median_fdny_pickup,median_fdny_job_creation,average_fd_pickup,average_fd_processing
2025-03-24T00:00:00.000,EMS,2. Non-Life Threatening Med Emergencies,10553,3.83,99.44,106.4,164.89,348.1,1035.14,932.23,3,90,10.5,37.5,98.5,561,696.5,11.45,4.14,1,0.15,1.59,0.06,,,,,,
2025-03-24T00:00:00.000,NYPD,1. Critical,850,3.95,132.75,,,246.2,502.62,489.79,3,102,,,70,177.5,393.5,4.27,1.89,,,2.15,0.07,,,,,,
2025-03-24T00:00:00.000,NYPD (Non-CIP),Disorderly Person/Group/Noise,1916,3.95,154.23,,,782.43,3343.14,3302.97,3,127,,,211,1075.5,1705,42.68,10.47,,,2.5,0.07,,,,,,
2025-03-24T00:00:00.000,EMS,1. Life Threating Med Emergencies,8639,3.9,79.61,85.14,144.21,194.33,642.8,574.97,3,81,10.5,35.5,79,400,503.5,7.47,1.91,1.01,0.12,1.26,0.06,,,,,,
2025-03-24T00:00:00.000,FDNY,4. Non-Medical Emergencies,2036,3.97,158.25,,,222.17,565.97,522.33,3,27.5,,,7,303,426.5,5.73,0.2,,,2.57,0.07,55.71,109.18,5,46,0.09,0.89
2025-03-24T00:00:00.000,FDNY,3. Medical Emergencies,3121,4.01,268.11,81.11,260.8,299.26,642.9,545.53,3,131,5,55,7,327,470,5.73,0.52,2.17,0.09,4.4,0.07,,,,,,
2025-03-24T00:00:00.000,FDNY,1. Structural Fires,192,4.08,30.06,,,93.33,291.19,289.37,3,16,,,7,189.5,271,3.3,0.15,,,0.43,0.07,34.4,84.21,5,45,0.08,0.83
2025-03-24T00:00:00.000,NYPD,2. Serious,2224,3.86,129.93,,,293.5,717.6,689.26,3,97,,,79,254.5,487,7.07,2.73,,,2.1,0.06,,,,,,
2025-03-24T00:00:00.000,NYPD (Non-CIP),Alarms,2142,3.79,139.58,,,615.74,2569.71,2569.71,3,113,,,151,824.5,1275,32.57,7.94,,,2.26,0.06,,,,,,
2025-03-24T00:00:00.000,NYPD (Non-CIP),Possible Crimes,5951,3.87,159.32,,,863.02,4410.89,4290.74,3,126,,,227,1713,2322,59.13,11.73,,,2.59,0.06,,,,,,
2025-03-24T00:00:00.000,NYPD (Non-CIP),Other Crimes (In Progress),2556,4.04,157.31,,,550.26,1439.59,1429.37,3,131,,,123,411,808,14.82,6.55,,,2.55,0.07,,,,,,
2025-03-24T00:00:00.000,NYPD (Non-CIP),Past Crime,3546,3.84,202.49,,,1121.1,6364.6,6263.87,3,172,,,278,2734,3578,87.39,15.31,,,3.31,0.06,,,,,,
2025-03-24T00:00:00.000,NYPD,3. Non-Critical,687,3.96,176.68,,,491.72,1432.52,1424.56,3,147,,,134,442,802,15.68,5.25,,,2.88,0.07,,,,,,
2025-03-24T00:00:00.000,NYPD (Non-CIP),Dispute,4425,3.8,169.71,,,829.48,3212.91,3196.34,3,141,,,217,981,1706,39.72,11,,,2.77,0.06,,,,,,
2025-03-24T00:00:00.000,FDNY,2. Non-Structural Fires,137,3.55,29.2,,,96.62,382.32,380.25,3,17,,,7,249,352,4.76,0.14,,,0.43,0.06,33.65,88.41,5,42,0.08,0.91
2025-03-24T00:00:00.000,NYPD (Non-CIP),Vehicle Accident,259,4.12,197.04,,,908.09,4091.8,3881.95,3,164,,,276,1602,2223,53.06,11.85,,,3.22,0.07,,,,,,
2025-03-24T00:00:00.000,NYPD (Non-CIP),Investigate/Possible Crime,1,6,70,,,1030,1585,1585,6,64,,,960,555,1585,9.25,16,,,1.07,0.1,,,,,,
2025-03-24T00:00:00.000,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,117,4.69,185.2,,,531.6,3263.77,1674.96,3,154,,,97,1760,530,45.54,5.77,,,3.01,0.08,,,,,,
2025-03-24T00:00:00.000,NYPD (Non-CIP),Police Officer/Security Holding Suspect,89,3.84,127.63,,,497.33,1479.33,1479.33,4,98,,,137,611,1162,16.37,6.16,,,2.06,0.06,,,,,,
2025-03-17T00:00:00.000,NYPD (Non-CIP),Police Officer/Security Holding Suspect,133,4.48,129.26,,,460.53,1531,1531,3,95,,,119,566,873,17.84,5.52,,,2.08,0.07,,,,,,
2025-03-17T00:00:00.000,FDNY,4. Non-Medical Emergencies,2451,4.64,156.86,,,220.51,559.17,515.18,3,27,,,7,302,422,5.64,0.19,,,2.54,0.08,54.95,110.16,5,47,0.09,0.92
2025-03-17T00:00:00.000,NYPD (Non-CIP),Dispute,5214,4.31,171.34,,,856.78,3161.5,3128.77,3,141,,,211,965,1654,38.41,11.42,,,2.78,0.07,,,,,,
2025-03-17T00:00:00.000,NYPD,1. Critical,1007,4.52,135.24,,,243.64,499.95,485.57,3,103,,,68,191,404,4.27,1.81,,,2.18,0.08,,,,,,
2025-03-17T00:00:00.000,FDNY,2. Non-Structural Fires,157,5.13,31.77,,,107.93,382.24,371.83,3,15,,,7,260,352,4.57,0.14,,,0.44,0.09,31.56,95.93,5,44,0.08,1.07
2025-03-17T00:00:00.000,NYPD (Non-CIP),Investigate/Possible Crime,2,4,233,,,330.5,801,801,4,229,,,97.5,470.5,801,7.84,1.63,,,3.82,0.07,,,,,,
2025-03-17T00:00:00.000,NYPD (Non-CIP),Alarms,2705,4.35,139.88,,,564.26,2502.53,2501.44,3,115,,,142,811,1270,32.3,7.07,,,2.26,0.07,,,,,,
2025-03-17T00:00:00.000,NYPD,2. Serious,2486,4.42,133.95,,,292.86,692.89,664.51,3,100.5,,,80,247,486,6.67,2.65,,,2.16,0.07,,,,,,
2025-03-17T00:00:00.000,EMS,1. Life Threating Med Emergencies,9990,4.61,80.63,85.9,143.65,197.09,649.94,576.31,3,77,12,33,81,401.5,503,7.55,1.94,0.98,0.12,1.27,0.08,,,,,,
