Question,Answer
What is the main focus of the book written by Tong Xiao and Jingbo Zhu on large language models?,"The book focuses on outlining the basic concepts of large language models and introducing related techniques, with an emphasis on the foundational aspects rather than providing comprehensive coverage of all cutting-edge methods."
What has opened the door to universal language understanding and generation in the field of natural language processing?,"The development of neural sequence models, such as Transformers, along with improvements in large-scale self-supervised learning."
"What are the three approaches to pre-training in NLP, and how do they differ?","The three approaches to pre-training in NLP are: (1) Unsupervised pre-training, where a neural network is optimized using a criterion not directly related to specific tasks; (2) Supervised pre-training, where a neural network is pre-trained on a supervised learning task and then adapted to a downstream task; and (3) Self-supervised learning, where a neural network is trained using supervision signals generated by itself from unlabeled data. They differ in their use of labeled data, with unsupervised pre-training using no labeled data, supervised pre-training using labeled data for pre-training, and self-supervised learning generating its own supervision signals from unlabeled data."
"What is the primary method to adapt a pre-trained model to a specific task, such as text classification?","Fine-tuning the model by giving explicit labeling in downstream tasks, either by adjusting all model parameters or just the classifier parameters while keeping the encoder parameters frozen."
What is the training objective in Masked Language Modeling?,"The training objective in Masked Language Modeling is to maximize the reconstruction probability Pr(x|¯x) or equivalently, to maximize the probabilities for masked tokens, expressed as ( ˆW,ˆθ) = arg max W,θ ∑ x∈D ∑ i∈A(x) log Pr W,θ i (xi |¯x)."
What is the main difference between standard language modeling and permuted language modeling?,"The main difference is that in permuted language modeling, the order in which the tokens are predicted differs from the actual order of tokens in the text, allowing for the generation of some tokens to be conditioned on a broader context."
What approach allows a single model to perform many tasks simultaneously by framing different problems into the same text-to-text format?,"The approach described is to use generative adversarial networks (GANs) style training or more specifically, a text-to-text format where both task instructions and problem inputs are provided to the system in text form."
What are the different methods of corrupting the input sequence for denoising autoencoding in encoder-decoder models?,"The different methods of corrupting the input sequence for denoising autoencoding in encoder-decoder models are: token masking, token deletion, span masking, sentence reordering, and document rotation."
What is the loss function used in training the standard BERT model?,"The loss function used in training the standard BERT model is a sum of the loss of masked language modeling and next sentence prediction tasks, represented as LossBERT = LossMLM + LossNSP."
What are the two widely-used BERT models and their configurations?,"BERT base: d=768, L=12, nhead=12, total number of parameters=110M; BERT large: d=1024, L=24, nhead=16, total number of parameters=340M."
"What is one approach to compressing BERT models, which involves representing model parameters as low-precision numbers?",Quantization.
What is the purpose of fine-tuning a pre-trained BERT model?,The purpose of fine-tuning a pre-trained BERT model is to adapt it to a specific downstream task by adjusting its parameters to minimize the loss on a labeled dataset for that task.
How is the loss computed in the BERT model for a specific task?,The loss can be computed by summing the log likelihoods of the two models across the entire context text: Loss = −1n ∑nj=1 (log pbegj + log pendj)
What is the primary goal of language modeling in the context of natural language processing (NLP)?,The primary goal of language modeling is to predict the probability of a sequence of tokens occurring.
What is the purpose of the masking variable Mask in the self-attention mechanism of the Transformer architecture?,"The purpose of the masking variable Mask is to prevent the model from accessing the right-context, by incorporating a masking variable into self-attention to achieve this, where the entry (i,k) of Mask has a value of 0 if i≤ k, and a value of −inf otherwise."
What is instruction fine-tuning in LLMs?,Instruction fine-tuning is a method that adapts LLMs to new tasks by slightly fine-tuning the model parameters using instruction-following data.
What is the purpose of instruction fine-tuning in large language models (LLMs)?,"The purpose of instruction fine-tuning in LLMs is to adapt the models to tasks that can be well-defined by learning from instruction-response annotated data, allowing the models to align with intended behaviors for following instructions."
