Question,Answer
What is the arXiv ID of the text?,arXiv:2501.09223v1
What is the subject classification of the text?,cs.CL
What is the date the text was submitted?,"January 16, 2025"
Who are the authors of the text?,Tong Xiao and Jingbo Zhu
What is the affiliation of the authors?,"NLP Lab, Northeastern University & NiuTrans Research"
What year was the copyright secured?,2021-2025
Under what license is this work distributed?,Creative Commons Attribution-NonCommercial 4.0 Unported License
What is the book's aim?,To outline the basic concepts of large language models and introduce related techniques.
What is the book's focus?,Foundational aspects of large language models.
How many chapters are in the book?,Four
What does Chapter 1 introduce?,The basics of pre-training.
What are common pre-training methods discussed in Chapter 1?,Common pre-training methods and model architectures.
What does Chapter 2 introduce?,"Generative models, which are the large language models we commonly refer to today."
What topics are covered in Chapter 2 regarding generative models?,"Basic process of building these models, scaling up model training, and handling long texts."
What does Chapter 3 introduce?,Prompting methods for large language models.
What prompting strategies are discussed in Chapter 3?,"Various prompting strategies, chain-of-thought reasoning, and automatic prompt design."
What does Chapter 4 introduce?,Alignment methods for large language models.
What is the focus of Chapter 4 regarding alignment?,Instruction fine-tuning and alignment based on human feedback.
What prior knowledge is helpful for reading this book?,"Background in machine learning and natural language processing, and an understanding of neural networks like Transformers."
What if a reader lacks the prior knowledge mentioned?,"It is still perfectly fine, as the content is self-contained."
What is the writing style of the book described as?,A compilation of notes.
What is the notation for a variable?,a
What is the notation for a row vector or matrix?,a
What is the notation for a function of a?,f(a)
What is the notation for the maximum value of f(a)?,max f(a)
What is the notation for the value of a that maximizes f(a)?,arg max<sub>a</sub> f(a)
What is the notation for the input token sequence to a model?,x
What is the notation for the input token at position j?,x<sub>j</sub>
What is the notation for the output token sequence produced by a model?,y
What is the notation for the output token at position i?,y<sub>i</sub>
What is the notation for model parameters?,θ
What is the notation for the probability of a?,Pr(a)
What is the notation for the conditional probability of a given b?,Pr(a|b)
What is the notation for the probability distribution of a variable given b?,Pr(·|b)
What is the notation for the probability of a as parameterized by θ?,Pr<sub>θ</sub>(a)
What is the notation for the hidden state at time step t in sequential models?,h<sub>t</sub>
What is the notation for the matrix of all hidden states over time in a sequence?,H
"What are the notations for query, key, and value matrices in attention mechanisms?","Q, K, V"
What is the notation for the Softmax function?,Softmax(A)
What is the notation for a loss function?,L
What is the notation for a dataset?,D
What is the notation for the gradient of the loss function L with respect to the parameters θ?,∂L/∂θ
What is the notation for KL divergence?,KL(p||q)
When did large language models originate?,From natural language processing.
What is a key insight brought by large language models?,Knowledge of the world and languages can be acquired through large-scale language modeling tasks.
