Question,Answer,Rank
What is the arXiv ID of the text?, arXiv:2501.09223v1,10
What is the subject classification of this text?, cs.CL (Computational Linguistics),10
When was the text submitted?," January 16, 2025",9
Who are the authors of this text?, Tong Xiao and Jingbo Zhu,10
What institution are the authors affiliated with?, Northeastern University & NiuTrans Research,10
Under what license is this text distributed?, Creative Commons Attribution-NonCommercial 4.0 Unported License,10
What is the main topic of this text?, The foundations of Large Language Models (LLMs).,10
What is a key insight brought by LLMs?, Knowledge of the world and languages can be acquired through large-scale language modeling tasks.,10
How has the research methodology in NLP changed due to LLMs?, A shift from training specialized systems from scratch to using large-scale pre-training to obtain foundation models.,10
What is the purpose of this book?," To outline the basic concepts of LLMs and introduce related techniques, focusing on foundational aspects.",10
How many chapters are in the book?, Four,10
What is covered in Chapter 1?," The basics of pre-training, including methods and model architectures.",10
What is covered in Chapter 2?," Generative models (LLMs), scaling up model training, and handling long texts.",10
What is covered in Chapter 3?," Prompting methods for LLMs, including advanced methods like chain-of-thought reasoning.",10
What is covered in Chapter 4?," Alignment methods for LLMs, focusing on instruction fine-tuning and alignment based on human feedback.",10
What background knowledge is helpful for reading this book?," Machine learning, natural language processing, and an understanding of Transformers.",10
Is prior knowledge absolutely necessary to understand the book?," No, each chapter is designed to be self-contained.",10
What is the writing style of the book described as?, A compilation of notes taken while learning about LLMs.,10
What are the two types of problems typically involved in discussing pre-training in NLP?, Sequence modeling (encoding) and sequence generation.,10
What is the general equation used to represent a sequence model?," o = g(x0, x1, ..., xm; θ) = gθ(x0, x1, ..., xm)",10
What are the two fundamental issues in pre-training NLP models?, Optimizing θ on a pre-training task and applying the pre-trained model to downstream tasks.,10
What are the three pre-training approaches discussed?," Unsupervised, supervised, and self-supervised pre-training.",10
What is unsupervised pre-training?, Optimizing a neural network using a criterion not directly related to specific tasks.,10
What is supervised pre-training?, Pre-training a neural network on supervised learning tasks before adapting it to downstream tasks.,10
What is self-supervised pre-training?, Training a neural network using supervision signals generated by itself from unlabeled data.,10
Which pre-training approach is most popular in current state-of-the-art NLP models?, Self-supervised pre-training.,10
What are the two major types of models used in NLP pre-training?, Sequence encoding models and sequence generation models.,10
What is sequence encoding?, Representing an input sequence as a vector or sequence of vectors.,10
What is sequence generation?, Generating a sequence of tokens based on a given context.,10
What is a common method of adapting pre-trained models?, Fine-tuning.,10
What is prompting?, Adapting LLMs to solve NLP problems by transforming them into text generation problems.,10
What is zero-shot learning?, Performing tasks not observed during the training phase.,10
What is few-shot learning?, Performing tasks with a few examples provided as demonstrations.,10
What are decoder-only architectures?," Architectures used in language models, predicting the distribution of tokens at a position given preceding tokens.",10
